,coef_pp,coef_bps,pvalue,ci_low_pp,ci_high_pp
event_rbi_msf_tightening_2013,0.05789705865880315,5.7897058658803155,6.544284256161044e-31,0.04808107844016489,0.06771303887744141
event_covid_19_pandemic,9.194158570913837e-18,9.194158570913837e-16,6.7972319741475394e-09,6.085004363696867e-18,1.2303312778130807e-17
event_rbi_msf_rollback_2013,0.016814930232149104,1.6814930232149103,0.0006361256889232666,0.007166418581381676,0.026463441882916532
trading_days_in_month,-0.0029169433477680916,-0.29169433477680917,0.0049136363299860444,-0.004949588968811298,-0.0008842977267248847
event_demonetization,-0.023259379322829527,-2.3259379322829528,0.026410934002793388,-0.04379324231329561,-0.0027255163323634465
event_fed_taper_tantrum_2013,-0.02297304155325585,-2.297304155325585,0.047359820062895706,-0.045678430949279966,-0.0002676521572317313
fest_durga_puja,0.010627134238172053,1.0627134238172053,0.13354432059964186,-0.00325622806940328,0.024510496545747384
wd_Friday,0.004737276699972244,0.4737276699972244,0.16697734944110276,-0.0019812582544339423,0.01145581165437843
wd_Wednesday,-0.004428942657776036,-0.4428942657776036,0.2062780090599533,-0.011297207047013218,0.0024393217314611464
wd_Tuesday,-0.003520651494206134,-0.3520651494206134,0.2392023349536373,-0.009383396128029416,0.0023420931396171477
fest_holi,0.010483804450382314,1.0483804450382315,0.3997493281230531,-0.013917852620871009,0.03488546152163564
fest_diwali,0.00907918446498711,0.907918446498711,0.42594470843601207,-0.01327196658999794,0.03143033551997216
wd_Thursday,-0.0028991625020640564,-0.28991625020640566,0.44723508198523987,-0.010375491650461453,0.00457716664633334
event_rbi_hawkish_pivot,5.059661500559744e-19,5.059661500559744e-17,0.8599221825708038,-5.1134440252533976e-18,6.125376325365346e-18
fest_eid_al_fitr,0.00044214049974401526,0.04421404997440152,0.9484413581282501,-0.012959081498505186,0.013843362497993218
event_fed_taper_tantrum_ii,-2.561132235754811e-18,-2.561132235754811e-16,,,
event_russia_ukraine_war,1.1484696281037049e-17,1.148469628103705e-15,,,
