,model,family,AIC,BIC,LjungBox_p10,LB_p10_on_val,JB_pvalue,OOS_RMSE_bps,notes
0,"ARIMA(0,1,3)",ARIMA,-7962.95970246419,-7939.562407192027,,1.2186376426310104e-05,,2.6549704986805622,finalist
1,"ARIMA(2,1,1)",ARIMA,-7960.562213784513,-7937.164918512351,,5.750882061647541e-05,,,fails val LB
2,"ARIMA(3,1,0)",ARIMA,-7960.280858841711,-7936.883563569549,,1.7942811306148875e-05,,,fails val LB
3,"ARIMA(1,1,2)",ARIMA,-7957.426933885534,-7934.029638613371,,0.00018703439161444106,,,fails val LB
4,"ARIMA(1,1,3)",ARIMA,-7962.636165800689,-7933.389546710486,,8.32401563974399e-06,,,fails val LB
5,"ARIMA(2,1,0)",ARIMA,-7950.5908745807155,-7933.042903126594,,9.081987992185941e-05,,,fails val LB
6,"ARIMA(0,1,4)",ARIMA,-7961.163025180354,-7931.916406090151,,9.092221857090423e-06,,,fails val LB
7,"ARIMA(3,1,1)",ARIMA,-7959.520671452579,-7930.274052362376,,3.7647612012243666e-05,,,fails val LB
8,"ARIMA(2,1,2)",ARIMA,-7958.716532061034,-7929.469912970831,,6.579114521803627e-05,,,fails val LB
9,"ARIMA(4,1,0)",ARIMA,-7958.498054097932,-7929.251435007729,,2.390455254235351e-05,,,fails val LB
10,"ARIMA(2,1,3)",ARIMA,-7963.850675596307,-7928.754732688064,,2.7850073450697636e-06,,,fails val LB
11,"ARIMA(0,1,2)",ARIMA,-7945.772854527248,-7928.224883073126,,0.0004327379308043432,,,fails val LB
12,"ARIMA(3,1,2)",ARIMA,-7962.231014434285,-7927.135071526041,,4.50804477887161e-06,,,fails val LB
13,"ARIMA(1,1,4)",ARIMA,-7959.244860919981,-7924.148918011738,,8.831220026924185e-06,,,fails val LB
14,"ARIMA(4,1,1)",ARIMA,-7957.569611913043,-7922.4736690048,,3.444199973016099e-05,,,fails val LB
15,"ARIMA(3,1,3)",ARIMA,-7961.772596105865,-7920.827329379581,,8.537484142245855e-06,,,fails val LB
16,"ARIMA(2,1,4)",ARIMA,-7961.2657729028415,-7920.3205061765575,,8.476716965874606e-06,,,fails val LB
17,"ARIMA(0,1,1)",ARIMA,-7930.724760913604,-7919.026113277523,,0.00016106496555132944,,,fails val LB
18,"ARIMA(4,1,2)",ARIMA,-7959.75003544215,-7918.804768715866,,6.320669825493563e-06,,,fails val LB
19,"ARIMA(1,1,0)",ARIMA,-7928.127313544706,-7916.428665908626,,0.0003439846592876369,,,fails val LB
20,"ARIMA(1,1,1)",ARIMA,-7933.8528902697435,-7916.304918815622,,0.00021369436932364733,,,fails val LB
21,"ARIMA(3,1,4)",ARIMA,-7958.945616559301,-7912.151026014976,,1.1028287081423228e-05,,,fails val LB
22,"ARIMA(4,1,3)",ARIMA,-7958.500557004454,-7911.705966460129,,4.02998887357501e-06,,,fails val LB
23,"ARIMA(4,1,4)",ARIMA,-7960.552178195503,-7907.908263833138,,1.786183430597155e-05,,,fails val LB
24,"ARMA(0,3) + trading_days_in_month",ARMA-dy + dummies,-7968.1467105049,-7933.050767596656,0.03482015626419834,2.07960670468084e-05,0.0,,diagnostic / explanation (no OOS evaluation by spec)
25,"ARMA(0,3) on dy",ARMA-dy + dummies,-7961.197660075801,-7931.9510409855975,0.039832522949274564,1.208705429742906e-05,0.0,,diagnostic / explanation (no OOS evaluation by spec)
26,"ARMA(0,3) + weekday",ARMA-dy + dummies,-7962.662617942234,-7910.018703579869,0.028197373990457558,5.446212549688338e-06,0.0,,diagnostic / explanation (no OOS evaluation by spec)
27,"ARMA(0,3) + festivals",ARMA-dy + dummies,-7957.760689103898,-7905.116774741533,0.04611992089751207,1.5175230656965578e-05,0.0,,diagnostic / explanation (no OOS evaluation by spec)
28,"ARMA(0,3) + events",ARMA-dy + dummies,-7973.634772886693,-7897.593563252166,0.03377976518483884,8.513002853713742e-06,0.0,,diagnostic / explanation (no OOS evaluation by spec)
29,"ARMA(0,3) + weekday + events + festivals + tdm",ARMA-dy + dummies,-7981.349723101349,-7852.664599104457,0.019855839190981574,7.786287549485833e-06,0.0,,diagnostic / explanation (no OOS evaluation by spec)
30,"SARIMA(0,1,3)(1,0,0)[5]",SARIMA,-7949.427713216246,-7920.190854035447,,1.3100653994299903e-05,,,loses to baseline on BIC
31,"SARIMA(0,1,3)(0,0,1)[5]",SARIMA,-7933.753475387979,-7904.52443787479,,1.6164717353699106e-05,,,loses to baseline on BIC
32,"AIRLINE (0,1,1)(0,1,1)[5]",SARIMA,-7868.548030361616,-7851.014132428222,,0.00014213683375907421,,,loses to baseline on BIC
33,"SARIMA(0,1,3)(0,0,1)[22]",SARIMA,-7869.512239206735,-7840.316580965364,,1.5248782156586191e-05,,,loses to baseline on BIC
